nombre,orden,cordillera,pais,altura
Everest,1,Himalaya,Nepal,8849
K2,2,Karakórum,Pakistán,8611
Kanchenjunga,3,Himalaya,Nepal,8586
Lhotse,4,Himalaya,Nepal,8516
Makalu,5,Himalaya,Nepal,8485
Cho Oyu,6,Himalaya,Nepal,8188
Dhaulagiri,7,Himalaya,Nepal,8167
Manaslu,8,Himalaya,Nepal,8163
Nanga Parbat,9,Karakórum,Pakistán,8125
Annapurna I,10,Himalaya,Nepal,8091
Aconcagua,11,Los Andes,Argentina,7000
